id,student_id,login_at,logout_at,duration_seconds,active
96c4beb4-7378-40bd-a60a-9fed21c51fc5,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 02:57:37.450593,,,true
97c0a667-4b8b-45a0-b1cf-88dba6a93cbd,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:15:32.064369,2026-05-20 03:26:06.037,0,false
97c55e0f-41e9-4d00-819e-d56b11627751,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 15:11:28.795865,2026-05-12 15:11:36.449,7,false
987d30e9-1401-4f7f-9196-8ff66a7586bf,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 06:18:40.231314,,,true
9d7703f5-20aa-4f68-be32-2b7c9b048f7a,240e26f2-9371-4d04-ac1e-f0bdabd74804,2026-06-05 18:04:20.363679,2026-06-05 18:07:33.23,192,false
a0571f89-97fa-4eb0-861f-e9822d82f6a8,0d742029-1e08-45ed-9edc-2fc43d544633,2026-05-21 03:30:09.127689,,,true
a0f2cf8d-c078-4c42-92b4-e7b188ed9227,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:07:58.68105,,,true
a40826cc-1722-410b-8e98-7af60ae78dca,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 01:36:40.778646,,,true
a77b6fca-42a2-495b-a316-bd72d19d4475,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:15:12.096998,,,true
a9067417-d22e-449e-8efc-4586e9231469,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-13 10:07:33.051245,,,true
aa8c4a1c-8565-41d3-9997-181e54cb702b,e53b248a-25e7-40b5-814f-d65394615c3c,2026-05-25 22:33:15.361389,,,true
aab3df1c-0494-4451-8942-68f7e74a1dc3,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 02:51:16.546145,,,true
aba74a8d-a547-4506-b411-94da3d456894,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:27:48.506263,,,true
ae7fc4d4-8a5c-4437-a5ba-26fc7496743f,5e32fd5e-b454-4436-ae77-58f2114bed42,2026-05-14 03:58:55.533521,,,true
af083932-9229-479a-bb63-a29c54fa2c4b,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 01:43:34.24667,,,true
b1e0d9c7-9625-4a39-b135-12ed52049349,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-22 02:39:18.899913,2026-05-22 02:40:31.785,72,false
b34b3403-35cc-4c11-9243-e505a6b2306f,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:46:44.201591,,,true
b389140e-e9ea-4da8-9c40-0346ed0abce4,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 15:00:37.047883,,,true
b71cede0-422a-4945-8e95-4c887d5986a2,bc1e82bc-0efb-4981-87cb-70db4b77f42f,2026-05-24 03:48:37.472145,,,true
b7e00fe5-6f95-4e01-ae1a-05bda7bb8946,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 22:30:47.130632,2026-05-12 22:30:49.218,2,false
b8b5053f-dcf6-4356-a344-2dba26cb306b,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-06-04 06:51:30.061107,,,true
bab488e0-716f-4a67-a166-3afb6094c7e7,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,2026-05-20 05:27:42.893398,2026-05-20 05:28:07.509,24,false
bbc2a42a-eb54-4050-bbf7-3aa3fdee9d87,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:34:41.519239,,,true
bc61fadd-0b01-4b86-a5a1-7fe3cd1984b1,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:23:57.059867,2026-05-20 04:23:56.007,0,false
bdef3a49-3344-4314-8ba6-0d1b317a4a4d,063b47d1-94bb-4248-803a-a1393cff0085,2026-06-01 15:04:38.616158,,,true
bf06f2d0-8924-47fb-b419-8da266e76a16,903efe0e-7e7a-4c71-aff4-ff7c31298f41,2026-05-14 18:27:12.874108,,,true
c16e98c0-1eba-4997-8bae-3e5bac503db8,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:12:35.293973,2026-05-20 04:12:57.678,0,false
c2bff644-efcd-4bf3-a6a4-e6e2da075af9,3792864f-3238-40f9-8128-74a079a242c1,2026-05-25 14:31:26.177792,,,true
c56dcfa6-f882-4651-be50-2dc880c5900d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 02:35:36.76149,,,true
c5d5fae6-ec90-4030-97e6-62602f498b08,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,2026-06-05 03:02:28.113111,2026-06-05 03:03:30.644,62,false
c7b6ef26-ef42-47e4-b70e-e066e802dc18,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:36:55.608721,,,true
c7de26a3-f338-45c3-977f-6f622301830d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 02:20:37.343924,,,true
c8925684-ad8a-400a-b36b-6f20027ba965,d6d8224e-a0f7-44cc-a2da-b5bc6caf3027,2026-05-13 21:39:01.994838,,,true
cada6929-1d2a-4ee2-9914-2976a5cbbc68,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:58:26.967191,,,true
cb1d2539-1ac9-44bc-ba7b-3b83ee45e2c4,22b8b5e1-bc2d-42d8-a039-73526defa74d,2026-05-25 14:27:00.821056,,,true
cc1ddf2f-9251-4ad2-a7dd-911ff01551a9,0d742029-1e08-45ed-9edc-2fc43d544633,2026-05-21 03:31:52.442157,2026-05-21 03:32:23.829,31,false
cd3d7578-2820-4565-872b-2c82503f5e6f,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-13 15:51:50.632736,,,true
cdbfc03a-ede7-48c3-be42-764ee5f3897d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-29 19:56:07.459344,2026-05-29 19:57:43.804,96,false
ce0db6ef-cca2-4a45-87aa-303b31bd8e12,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 02:52:02.948267,,,true
d96b4622-34e5-4683-8c9d-cacd84d78428,bc524b28-e88b-4548-bbd3-f3babf00539f,2026-05-13 16:11:04.247618,,,true
d9d9965b-73b2-4757-b891-eb9bf8a0e1aa,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,2026-05-18 19:02:22.317456,,,true
d9f63360-272a-412b-ba86-40e4868de597,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:52:17.858455,,,true
da46413a-626f-4d68-b10e-347dce4459db,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:36:31.737597,,,true
dc46c537-566c-48ee-a89f-456affa63691,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:22:10.900967,2026-05-20 03:24:49.511,0,false
dcf8c9f7-ea3d-4e92-87fb-e2f8d6a5e592,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:48:53.382753,,,true
ddb0c877-61df-4ecb-a271-f7b451c4d5d4,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,2026-05-20 07:06:47.019966,2026-05-20 07:11:31.737,284,false
ddd2c2b2-0850-4d82-9be6-b901bcf4ece1,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,2026-05-24 21:38:29.323372,,,true
